title	exam_id	id	final_question_number	correct_ans	distractor_a	distractor_b	distractor_c	distractor_d	distractor_e	section	stem	question_text	critique	critique_media	pubmed_ref_id_1	pubmed_ref_id_2	pubmed_ref_id_3	pubmed_ref_id_4	abstract_1_title	abstract_2_title	abstract_3_title	abstract_4_title
chest wall; posterior mediastinal mass; rib osteosarcoma; diagnosis; treatment	sesats 10	1326	1	B	"<p>change to thoracotomy, do an incisional biopsy and resect the mass.</p>"	<p>convert to thoracotomy and resect the mass.</p>	"<p>do a thoracoscopic needle biopsy, terminate the operation and formulate a multidisciplinary plan.</p>"	"<p>obtain a thoracoscopic needle biopsy, then resect by either VATS or open technique.</p>"	<p>terminate the operation and perform additional outpatient diagnostic testing after discharge.</p>	General Thoracic - Lung & Chest Wall	http://d14jl09xmc3qmp.cloudfront.net/sesats/ssx/media/stem/4705_4705r_osteosarcomahq.jpg	"<p>A 55-year-old, otherwise healthy man, presented with rapid onset of severe chest wall pain. A moderately calcified 4 cm posterior paravertebral mass was diagnosed by CT scan. It did not invade neural foramina. A VATS resection for a presumed neurogenic tumor was planned, but during operation a mass with prominent neovascularity and evidence of proximal rib invasion is observed (see figure). The most appropriate next steps are to</p>"	"<p>While about two-thirds of mediastinal tumors are benign, the presence of symptoms increases the likelihood of malignancy to two-thirds. While masses of the posterior mediastinum are most commonly benign neurogenic tumors, this patient&#39;s rapid pain onset is a clue that the tumor may be atypical. CT and MR scans can diagnose a benign nerve sheath tumor with reliability. Therefore, in cases with typical presentations, a preoperative image-guided biopsy is often avoided because it can cause considerable discomfort. Planning in this case might have been better with a preoperative FNA biopsy, particularly if it showed ganglion and spindle cells suggestive of a ganglioneuroma. In clinical practice, however, technical problems or tumor characteristics like necrosis or calcifications may cause inconclusive results. Intraoperative judgment in this case considers the tumor&#39;s gross appearance, paravertebral location and rib adhesion/invasion. Calcification increases the likelihood that this is a Malignant Tumor of Nerve Sheath Origin (MTNSO). Such tumors have also been called malignant schwannomas, malignant neurofibromas, or neurogenic fibrosarcomas. MTNSOs are more common in patients who have systemic neurofibromatosis but they can occur sporadically. Two malignant tumors that arise from the sympathetic ganglion cells, neuroblastoma and ganglioneuroblastoma, are also in the differential diagnosis of lesions in this region. However, both of these malignancies typically occur in children less than 5 and 10 years of age, respectively. Staging of sympathetic ganglion tumors includes: Stage 1 (encapsulated); Stage 2 (locally invasive); Stage 3 (extension across midline or with lymph node metastases); and Stage 4 (distant metastases). The calcified nature of this malignancy makes immediate frozen section diagnosis difficult. Calcification also reduces the chance that it is an unusual malignancy like Ewing&#39;s sarcoma for which neoadjuvant chemotherapy might be indicated to improve results.</p><p>For all of these discussed neoplasms, complete surgical resection with wide margins is the best therapy. Little is known about the safety or long-term outcomes of thoracoscopic resections for such unusual tumors, but VATS techniques are evolving rapidly. In the meantime, open resection is preferred. Adjuvant radiation therapy can be used for close or involved margins and, if available, brachytherapy techniques may be considered. The final pathology in this case showed osteosarcoma of the proximal rib that mimicked the working diagnosis of atypical neural tumor. It was appropriately treated by the same method of resection.</p>"		9266892	9367479			Primary mediastinal tumors Part 1 tumors of the anterior mediast	Primary mediastinal tumors part II Tumors of the middle and post		
chest wall; radiation necrosis ulcer; myocutaneous flap reconstruction	sesats 10	1620	2	E	"<p>biopsy, local debridement and skin grafting.</p>"	<p>local excision and chemotherapy.</p>	<p>wide excision and primary closure.</p>	<p>wide excision with muscle flap.</p>	<p>wide excision with myocutaneous flap closure.</p>	General Thoracic - Lung & Chest Wall	http://d14jl09xmc3qmp.cloudfront.net/sesats/ssx/media/stem/5162_5162a.jpg	<p>A 70-year-old woman had a left radical mastectomy and radiation therapy for breast cancer 20 years ago. Aortic valve replacement through a median sternotomy was done eight years ago. A chest wall lesion is shown in the photographs. The best management is</p>	"<p>Radiation therapy is integral to multidisciplinary treatment for breast cancer, but it can have long-term complications. Radiation necrosis of the chest wall, seen here, provides a formidable challenge to the thoracic surgeon. Collaboration with a plastic surgeon is often prudent, and principles for managing chest wall radionecrosis, necrotizing infections, or complex malignant lesions include: (1) removal of all necrotic, devitalized and irradiated tissue; (2) avoidance of prosthetic materials for reconstruction if infection is present; and (3) coverage of the wound with well-vascularized soft tissue. The best solution for a patient must be based on individual considerations.</p><p>In this case it was possible to resect all necrotic tissue down to the chest wall but entry into the pleural cavity was avoided. A myocutaneous flap was utilized for soft tissue coverage. Muscle flap selection is largely dependent on the location of the chest wall defect. Two of the most commonly used muscles are the latissimus dorsi and the pectoralis major. The ipsilateral pectoralis major muscle in this patient was removed during the radical mastectomy years before. The past breast/chest wall irradiation would have rendered the ipsilateral pectoralis muscle an unacceptable tissue flap in any case. The arc of rotation of the contralateral pectoralis major muscle is inadequate. The composite figure shows a cadaver prep of a latissimus dorsi myocutaneous flap based on the thoracodorsal neurovascular pedicle. This robust tissue flap can be mobilized with an adequate arc of rotation to permit transfer to the upper anterior chest wall. The created posterior soft tissue defect can be successfully skin grafted. An intraoperative photograph of this patient with the flap tacked into place is shown.</p>"	"http://d14jl09xmc3qmp.cloudfront.net/sesats/ssx/media/critique/5162_5162critacomp.jpg,http://d14jl09xmc3qmp.cloudfront.net/sesats/ssx/media/critique/5162_5162critb.jpg"	12078759	8823018	18498790	8310024	Chest wall resections and reconstruction a 25year experience	Chestwall reconstruction an account of 500 consecutive patients	Fullthickness resection with myocutaneous flap reconstruction fo	Muscle flaps in irradiated wounds an account of 100 consecutive 
chest wall; trauma; flail chest; associated injuries	sesats 10	1481	3	C	<p>cardiac contusion</p>	<p>hemothorax</p>	<p>pulmonary contusion</p>	<p>sternal fracture</p>	<p>thoracic aortic injury</p>	General Thoracic - Lung & Chest Wall		"<p>A 52-year-old woman was involved in a motor vehicle collision. She was breathing spontaneously. During transport to the hospital, she was noted to have a plate of right anterolateral chest wall including portions of ribs three through six that moved in with inspiration and moved out with exhalation. During full trauma evaluation in the emergency department, which of the following associated injuries is most likely?</p>"	"<p>Flail chest injury is defined as fracture of two or more ribs in two or more places, which results in an isolated, unstable segment of chest wall. This flail chest wall segment moves paradoxically with respiration (in with inspiration). The direct force required to produce such an injury places the patient at high risk for associated intrathoracic and upper abdominal injuries. While each listed choice is possible, underlying pulmonary contusion is most common.</p><p>Effective pain management is critical to facilitate effective cough, deep breathing, and early mobility (if not limited by other injuries). Elaborate tape strapping and chest wall immobilization techniques were formerly popular for these injuries, but paradoxical chest wall motion is seldom severe enough to prohibit adequate spontaneous breathing if pain is resolved. For patients who require mechanical ventilation, consideration should be given to early tracheostomy to optimize clearance of tracheobronchial secretions and to minimize the risk of pneumonia. Operative chest wall stabilization procedures in selected patients have been championed by some surgeons to enhance ventilation efficiency, decrease pain, and shorten the duration of required ventilator support. Severe underlying pulmonary contusion, however, has been cited as a contraindication to early chest wall stabilization.</p>"		9704957	18949513	17650694		Operative chest wall stabilization in flail chestoutcomes of pat	Rib fracture repair indications technical issues and future dire	management of flail chest	
lung cancer ; molecular biology; pathogenesis	sesats 10	1544	4	A	<p>Methylation of heterozygous tumor suppressors may lead to tumor formation.</p>	<p>Nonsmokers often have tumors with <em>K-Ras</em>&nbsp;mutations.</p>	<p><em>P53</em> deletion is more frequently found in the tumors of nonsmokers than smokers.</p>	<p><em>Ras</em> is frequently mutated in small cell lung cancers.</p>		General Thoracic - Lung & Chest Wall		"<p>Concerning lung cancer pathogenesis, which of the following is true?</p>"	"<p>As the field of cancer genetics advances, more is known about the specific genetic alterations that cause both non-small cell lung cancer (NSCLC) and small cell lung cancer (SCLC). Perhaps the most studied oncogene in lung cancer is <em>Ras</em>. Mutations in <em>K-Ras</em> occur in approximately 30% of all lung adenocarcinomas and 15% of all NSCLCs. However, <em>Ras</em>&nbsp;mutations are almost never noted in small cell lung cancer. <em>P53</em> deletion is also a common event in non-small cell lung cancer.&nbsp;<em>P53</em>&nbsp;mutation is much more common in the tumors of non-smokers than those of smokers.</p><p>A rapidly growing field of inquiry into tumorigenesis is that of promoter methylation. CpG &quot;islands&quot; are areas of increased density of the dinucleotide sequence cytosine-phosphate diester--guanine. They form stretches of DNA up to several thousand base pairs long. In humans there are about 45,000 CpG islands, mostly found at the 5&#39; ends of genes and are largely unmethylated. Methylation of CpG-rich areas in promoters effectively &quot;turns off&quot; expression of downstream genes and may silence protein expression despite a heterozygous genotype. This phenomenon has been identified at genetic loci for the tumor suppressors <em>p16</em> and <em>APC</em>, among others. Recently, tumors of non-smokers have been demonstrated to be more often positive for epidermal growth factor receptor (EGFR) mutations than for other oncogenes. This finding may have implications for treatment as targeted inhibitors of EGFR have shown considerable therapeutic efficacy in these patients.</p>"		18337602	15118125	18520303	17158592	DNA methylation markers and early recurrence in stage I lung can	EGFR mutations in lung cancer correlation with clinical response	Kras as a target for lung cancer therapy	Somatic mutations of the epidermal growth factor receptor and no
lung cancer ; screening; outcomes	sesats 10	1543	5	C	<p>improved overall survival in the screened population.</p>	<p>increased detection and treatment of all-stage cancers.</p>	<p>increased detection and treatment of early-stage cancers.</p>	<p>reduced lung cancer-specific mortality in the non-screened population.</p>	<p>reduced lung cancer-specific mortality in the screened population.</p>	General Thoracic - Lung & Chest Wall		"<p>Prior to the National Lung Screening Trial (2002-2007), computed tomography-based lung cancer screening studies demonstrated</p>"	"<p>Lung cancer screening was controversial after the publication of these two studies. Because lung cancer currently kills approximately 160,000 people per year, an appropriately performed screening study should demonstrate a disease-specific mortality advantage. However, an effective screening regimen has been elusive. &nbsp;Non-small cell lung cancer screening has developed increased momentum over the past 15 years with improvements in computed tomography (CT). However, despite a hypothesized reduction in disease-specific mortality with a CT-based screening program of high-risk patients, no study results published prior to 2009 succeeded in demonstrating this. The Early Lung Cancer Action Project (ELCAP) screened 31,567 patients who had a smoking history greater than 10 pack years. Four hundred eighty-four (484) cases of non-small cell lung cancer were detected, and 412 of these were stage I. Of these 375 were resected, of whom 302 were resected within 1 month after diagnosis. Of this last group, the actuarial 10-year survival was 92%. However, the cancer-specific mortality rate in the entire screened population was not improved in the ELCAP study. This may have represented lead-time bias in that early-stage cancers were merely found before they would have been detected without screening. Thus, for each tumor found by screening as compared to the same tumor not screened, survival seemed longer only because the identical tumor was found earlier. Also, over-diagnosis bias, the detection of tumors unlikely to ever produce adverse outcomes, may have contributed.</p><p>Other studies also noted that increased detection of small nodules in screening studies do not affect the disease-specific mortality of the screened population. Bach et al. examined CT-screened patient cohorts from the Mayo Clinic, the Moffitt Cancer Center, and Milan. They found higher numbers of early-stage small cancers (and, therefore, increased numbers of operations) in each cohort, but in each case improved disease-specific mortality was not noted. Furthermore, no reduction in advanced lung cancer cases was observed in the screened cohorts. However, as in the ELCAP study, this study contained no control group.</p><p>In 2002 the U.S. National Cancer Institute initiated a controlled trial, the National Lung Screening Trial, which randomized long-term, high-risk smokers and former smokers to either CT-based or chest radiograph-based screening. The trial closed in 2007 with initial results (2009) indicating modest advantages for overall mortality and for lung cancer specific mortality in a low-dose CT screening arm compared to PA chest radiography. &nbsp;Outcomes of this study continue to appear.</p>"		17341709	18805261	21714641	17065637	Computed tomography screening and lung cancer outcomes	Difficulties encountered managing nodules detected during a comp	Reduced lungcancer mortality with lowdose computed tomographic s	Survival of patients with stage I lung cancer detected on CT scr
lung cancer; Pancoast tumor; diagnosis	sesats 10	1574	6	C	<p>bronchoscopy with biopsy and bronchoalveolar lavage</p>	<p>cervical mediastinoscopy</p>	<p>CT-guided fine needle aspiration</p>	"<p>Protocol treatment does not depend on histology, so pre-treatment diagnosis is unnecessary.</p>"	<p>thoracoscopic exploration</p>	General Thoracic - Lung & Chest Wall	http://d14jl09xmc3qmp.cloudfront.net/sesats/ssx/media/stem/5104_5104a.jpg	"<p>A 53-year-old man presented with right shoulder pain radiating to his arm and fingers. The PA chest radiograph is shown. PET/CT imaging reveals significant FDG uptake within the lesion. No other PET activity is noted within the hilum, mediastinum, or extrathoracic sites. What is the procedure of choice to obtain a diagnosis?</p>"	"<p>This patient&#39;s symptoms are typical for an apical lung cancer with involvement of the lower brachial plexus (Pancoast). Chest CT or MRI findings typically confirm invasion of the brachial plexus and the apicoposterior chest wall, with C8/T1 involvement causing shoulder and upper extremity pain radiating to the hand. A definitive tissue diagnosis is required to initiate therapy, but the peripheral location of these malignancies renders bronchoscopic techniques unreliable for biopsy. Transthoracic CT-guided needle biopsy is the most effective tool to secure a histological diagnosis. The diagnostic accuracy of CT-guided FNA and core needle biopsy of nodules greater than 1.5 cm exceeds 95%.</p><p>Cervical mediastinoscopy to assess nodal metastases is crucial to determine the surgical candidacy of these patients, but the diagnostic yield is low when PET/CT is negative. Thoracoscopic exploration is not optimal because it is invasive, requires a general anesthetic and recovery, and the tumor may be seeded into the pleural space. Supraclavicular node biopsy in the absence of palpable or image-demonstrated adenopathy is not indicated. Metastatic disease and atypical small cell lung cancer would mandate treatment different from standard Pancoast tumor protocols, so initial biopsy is mandatory.</p><p>Bimodality therapy consisting of preoperative external beam irradiation followed by resection was the standard of care for invasive apical cancers from 1961 through 2001. The favorable results seen in the Southwest Oncology Group (SWOG) Trial 9416 led to the current recommended treatment regimen of induction chemoradiotherapy for these patients. In this study, patients received two cycles of cisplatin and etoposide with concurrent external beam radiotherapy (45 Gy). Complete pathologic response was seen in 56% of resected specimens and five-year survival for these patients was 54%. Other trials have emphasized potential additional benefit from high-dose radiation therapy, and CT-guided radiation delivery may prove optimal as more experience is gained.</p>"		12822662	11823705	15942564		Changes in the treatment of Pancoast tumors	Concomitant weekly cisplatin and thoracic radiotherapy for Panco	Highdose radiotherapy in trimodality treatment of Pancoast tumor	
lung cancer; VATS ; indications for conversion; chest wall involvement	sesats 10	1588	7	C	<p>cross-fissure tumor invasion of the superior segment</p>	<p>dense adhesions of all lobes to the chest wall</p>	<p>direct tumor involvement of the 3rd rib anteriorly</p>	<p>identification of a suspicious hilar lymph node</p>	<p>incomplete fissures</p>	General Thoracic - Lung & Chest Wall		<p>A 66-year old man with a 3.5 cm right upper lobe tumor is undergoing thoracoscopy for planned lobectomy. Which of the following is an absolute indication to convert to thoracotomy?</p>	"<p>The presence of resectable hilar lymph nodes, incomplete fissures, or resectable local invasion does not mandate conversion to thoracotomy. When the chest wall is involved, formal chest wall resection is indicated. VATS techniques may be used in a hybrid manner for hilar and mediastinal dissection, but determination of margins, transmural chest wall resection and extraction of the specimen is facilitated by an overlying incision. When a lung cancer involves the chest wall the principles of resection mandate <em>en bloc</em> removal with clear margins and a thorough mediastinal node dissection. The importance of mediastinal node dissection is apparent when the survival impact of N1 and N2 involvement in this patient group is appreciated.</p>"		16305839		18926593	16798217	Lung cancer invading the chest wall a plea for enbloc resection 	Minimally invasive management of lung cancer	Preoperative evaluation of the depth of chest wall invasion and 	Thoracoscopic lobectomy a safe and effective strategy for patien
lung cancer; VATS vs. standard lobectomy; outcomes	sesats 10	1546	8	E	<p>Thoracoscopic lobectomy has a 10% improvement in 5-year survival.</p>	<p>Thoracoscopic lobectomy has a 20% improvement in 5-year survival.</p>	<p>Thoracotomy lobectomy has a 10% improvement in 5-year survival.</p>	<p>Thoracotomy lobectomy has a 20% improvement in 5-year survival.</p>	<p>Five-year survival is equivalent for the two techniques.</p>	General Thoracic - Lung & Chest Wall		"<p>Regarding 5-year survival of non-small cell lung cancer patients treated with thoracoscopic lobectomy versus lobectomy by thoracotomy, which of the following statements is true?</p>"	"<p>No prospective randomized trial has compared thoracoscopic (or video-assisted thoracoscopic surgery (VATS)) lobectomy with conventional open lobectomy for resectable non-small cell lung cancer. However, retrospective studies have identified at least equivalent survival between thoracoscopic lobectomy patients and historical controls on a stage-by-stage basis. For pathologic stage IA patients in each of these series, actuarial 5-year survival is approximately 70%. In addition, each of these series describes a significant number (5-10%) of patients who were pathologically N2 despite clinical staging of IA. This demonstrates that thorough mediastinal lymph node sampling/dissection was performed as part of each procedure. Two small studies demonstrated improved survival after thoracoscopic lobectomy and postulated that decreased inflammatory mediators may be responsible, but neither was controlled and neither group has presented long-term followup.</p>"		12614813	19022040	16926568	9801255	Longterm outcomes following VATS lobectomy for nonsmall cell bro	Surgery for earlystage nonsmall cell lung cancer a systematic re	Thoracoscopic lobectomy is a safe and versatile procedure experi	Thoracoscopic major lung resections an Asian perspective
lung cancer; biomarkers; profiles	sesats 10	1595	9	E	"<p>negative TTF-1, negative CK7, negative CK20</p>"	"<p>negative TTF-1, negative CK7, positive CK20</p>"	"<p>negative TTF-1, positive CK7, negative CK20</p>"	"<p>positive TTF-1, negative CK7, positive CK20</p>"	"<p>positive TTF-1, positive CK7, negative CK20</p>"	General Thoracic - Lung & Chest Wall		<p>A 64-year-old woman with a lung mass has a recent history of colorectal adenocarcinoma. Which of the following biomarker profiles is most consistent with a primary NSCLC?</p>	<p>TTF-1 or thyroid transcription factor 1 is positive in ~75% of NSCLC. Cytokeratin 7 (CK7) is typically positive in NSCLC and negative in colorectal adenocarcinoma. CK20 (cytokeratin 20) is typically negative in NSCLC and positive in colon adenocarcinoma. Characterizing tumors with panels of such immunohistochemical markers offers insights into their biologic activity and should ultimately indicate optimal treatment plans for individual tumors. Identification of surface proteins offers more accurate diagnosis of tumors for which conventional staining techniques are unreliable.</p>		18751415	18605762	15047742	11668468	How the measurements of a few serum markers can be combined to e	Immunohistochemistry of pulmonary and pleural neoplasia	Thyroid transcription factor 1 in pulmonary adenocarcinoma	Use of thyroid transcription factor 1 PE10 and cytokeratins 7 an
lung cancer; neoadjuvant therapy; clinical guidelines; outcomes	sesats 10	1596	10	B	<p>concurrent platinum-based chemotherapy with 25-40 Gy radiation to the primary and/or mediastinum followed by surgery</p>	<p>concurrent platinum-based chemotherapy with 45-60 Gy radiation to the primary and/or mediastinum followed by surgery</p>	<p>CT-guided (conformal) radiation therapy to the primary lesion (3 x 20 Gy) followed by surgery</p>	"<p>there is none - neoadjuvant therapy remains investigational, and surgery alone has the best survival</p>"		General Thoracic - Lung & Chest Wall		<p>Which of the following is an evidence-based neoadjuvant treatment regimen for stage IIIA NSCLC?</p>	"<p>Concurrent chemoradiation alone or neoadjuvant chemoradiation followed by surgery are accepted treatment regimens for stage IIIA NSCLC. Historically it has been thought that radiation to definitive treatment doses of 60 Gy or higher prior to surgery resulted in unacceptably high complication rates, particularly with bronchial stump healing. However, recent data contradicts this and reopens questions about the limits and benefits of maximally aggressive preoperative preparation of patients for resection. The success of CT-guided radiation in early stage lung cancer provokes interest in its use in more advanced disease, but the spatial relationships of advanced primary tumors and nodal spread negate the strategy of extreme doses/small treatment numbers as a preoperative treatment option. The possible superiority of trimodality therapy versus chemoradiation alone for stage IIIA NSCLC awaits the results of the Intergroup 0139 study, which addresses this question.</p>"		17551302	17589303	17599507	18721580	Chemotherapy and high dose radiotherapy followed by resection fo	Current treatment paradigms for locally advanced nonsmall cell l	Improved results of induction chemoradiation before surgical int	Phase III trial of hyperfractionated radiation and chemotherapy 
